x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;y
32.3;22.4;26.43;90.82;64;100;298;98.03;2.69;0.44;5682.95;5009.68
33.8;23.1;27.43;87.88;60;100;381;6.34;2.22;0.42;5009.68;5759.28
33;22.4;26.67;88.37;61;100;335;1.41;2.69;0.41;5759.28;6118.75
32.5;21.7;25.59;91.65;63;100;239;92.4;2.22;0.38;6118.75;4569.15
33.2;20.6;27.06;86.11;60;100;424;1.8;2.22;0.52;4569.15;4708.44
33.4;21.8;25.71;90.42;59;100;279;37.4;1.78;0.32;4708.44;4353.7
32.1;21.4;25.73;90.67;63;100;274;49.2;2.22;0.33;4353.7;5202.9
32.8;22.9;25.9;93.86;64;100;250;99.2;3.1;0.43;5202.9;4856.85
31.6;22.1;24.98;95.29;67;100;178;52.4;2.7;0.22;4856.85;5157.49
32.1;21.2;25.23;93.82;67;100;245;126;9.7;0.58;5157.49;5570.91
31.8;20.9;25.61;91.66;63;100;291;46.2;11.3;1.2;5570.91;4691.7
32.7;21.2;26.13;89.06;60;100;350;13.2;12.9;1.51;4691.7;5554.64
33.5;21;26.16;88.49;57;100;361;36.6;11.3;1.78;5554.64;4957.85
32.4;20.2;25.74;91.19;61;100;296;69.4;11.3;1.44;4957.85;4179.06
32.2;21.1;25.42;92.93;68;100;247;48.2;16.1;1.35;4179.06;4372.21
32.1;22.4;26.09;90.26;65;100;355;48.6;17.7;2.17;4372.21;4377.372947
32.5;21.6;25.97;89.53;61;100;329;64.2;11.3;1.6;4377.372947;4382.52
33.7;21.8;26.26;88.85;53;100;345;11.8;11.3;2.03;4382.52;5059.2
32.2;21.3;25.29;92.29;64;100;290;87.4;11.3;1.72;5059.2;5066.84
33.9;21.5;25.48;92.23;54;100;313;215.8;12.9;1.56;5066.84;4758.44
31.4;20.8;24.63;89.86;56;100;253;132.4;9.7;2.43;4758.44;4787.64
30.6;22.3;24.87;94.47;65;100;177;40.2;8;1.31;4787.64;5721.45
30.1;20.9;23.98;97.45;70;100;142;163.8;9.7;1.12;5721.45;4837.06
31.3;20.7;24.96;92.63;64;100;255;98;11.3;2.01;4837.06;3633.18
31.3;19.7;23.88;91.1;59;100;240;89.8;9.7;1.76;3633.18;4948.96
31.7;19.7;24.88;87.98;60;100;361;0.4;11.3;1.44;4948.96;4657.62
31.1;19.7;24.88;88.77;56;100;256;23.6;12.9;1.6;4657.62;4864.74
31.6;18.9;24.44;92.18;56;100;256;94;12.9;1.8;4864.74;3419.36
30.7;18.4;23.81;89.71;60;100;305;7.4;9.7;1.33;3419.36;3604.760963
30.7;18.9;24.58;91.49;61;100;288;6.8;12.9;1.96;3604.760963;3789.8
30.4;19;23.45;92.27;61;100;212;126.8;12.9;1.95;3789.8;4465.05
30.1;19.7;24.12;91.69;62;100;281;67.4;11.3;1.44;4465.05;4794.01
30.1;18.5;23.46;93.13;60;100;235;317;16.1;1.95;4794.01;4892.12
30.9;20.8;24.89;93.01;64;100;224;127.4;12.9;1.62;4892.12;5172.96
30.8;20.6;24.83;92.03;62;100;273;66;14.5;1.8;5172.96;5545.53
31.8;17.9;24.32;87.69;45;100;376;20;12.9;1.77;5545.53;5625.52
30.4;19;23.47;93.31;61;100;231;114.4;9.7;1.61;5625.52;5348.21
30.3;18.3;23.81;89.65;56;100;339;36.8;14.5;2.18;5348.21;4839.36
30.6;17.2;24.37;89.65;54;100;321;28.4;11.3;1.77;4839.36;4954.79
30.2;20;24.12;90.56;58;100;288;45.4;16.1;2.23;4954.79;4918.36
30.1;19.2;24.33;89.85;62;100;328;32.6;14.5;1.92;4918.36;4284.14
30.6;19.1;24.2;91.72;59;100;299;37.6;14.5;1.76;4284.14;5046.72
30.8;20.3;24.24;93.86;58;100;237;205;9.7;1.42;5046.72;5263.94
30.6;19.9;24.74;88.27;58;100;372;5.6;12.9;2.19;5263.94;5185.98
31.2;20.4;24.73;90.36;62;100;296;60.2;11.3;1.72;5185.98;5108.02
31.8;19.4;26.03;88.9;62;100;372;8;12.9;2.04;5108.02;5215.55
31.4;21.3;25.35;93.1;67;100;267;111;14.5;1.45;5215.55;5258.94
31.4;20.1;25.28;88.15;60;100;366;2.2;16.1;2.13;5258.94;4981.17
32.5;21.6;26.22;90.37;60;100;353;4;11.3;1.67;4981.17;4471.26
33.4;22.4;26.16;90.37;58;100;269;38;12.9;1.55;4471.26;4608.29
32.6;20.7;25.42;94.01;64;100;235;71.2;11.3;1.17;4608.29;4779.46
31.9;21.6;25.52;92.3;63;100;290;32.6;11.3;1.43;4779.46;4679.81
32.4;21.9;26.16;90.35;63;100;305;3.8;12.9;1.99;4679.81;5572.99
32.4;21.2;26.13;89.3;61;100;324;2;11.3;1.41;5572.99;5224.88
33;21.2;26.2;90.11;61;100;308;6.8;12.9;1.4;5224.88;5292.85
32.1;22.1;26.12;94.26;66;100;244;204;12.9;1.65;5292.85;5257.95
32.2;21.8;26.26;92.37;67;100;284;56;11.3;1.21;5257.95;5312.01
32.1;23;25.88;93.76;63;100;248;69.4;14.5;0.9;5312.01;5356.17
31.9;21.9;25.63;93.35;66;100;269;61.6;8;0.87;5356.17;6632.38
32.2;20.8;25.37;90.46;64;100;342;89.8;12.9;1.04;6632.38;5944.89
32.7;21.8;26.55;89.38;63;100;381;16.6;11.3;1.34;5944.89;5828.09
32;22.2;25.9;92.31;60;100;303;25.4;8;0.68;5828.09;5098.62
32.3;21.7;25.47;94.57;65;100;220;105.6;12.9;0.66;5098.62;5407.82
32.6;21.9;25.65;93.73;65;100;263;85.2;9.7;0.75;5407.82;6023.66
32.2;20.7;26.06;90.01;64;100;352;24.4;11.3;0.6;6023.66;5716.22
33.3;21.2;25.77;91.1;58;100;294;16.6;9.7;0.59;5716.22;5154.48
32.7;21.2;25.8;90.1;61;100;347;1.2;12.9;0.64;5154.48;5802.22
33;21.4;25.83;90.85;60;100;355;29.6;14.5;0.99;5802.22;6468.06
32.5;21.8;26.32;90.53;63;100;330;23.8;12.9;0.85;6468.06;5216.15
33.6;20.9;25.94;91.13;60;100;326;9.8;9.7;0.66;5216.15;5930.48
33;22.2;26.26;91.18;63;100;298;5.8;19.3;0.68;5930.48;5635.93
32.7;22.4;26.24;90.85;63;100;326;23.4;12.9;1.3;5635.93;5070.77
32.8;20.6;26.07;90.32;58;100;350;13;9.7;0.72;5070.77;5038.17
32.8;21.5;25.31;91.74;60;100;266;1.6;16.1;0.91;5038.17;5726.04
31.9;21.2;25.61;91.8;60;100;299;27.6;8;0.59;5726.04;5608.23
30.9;20.7;24.91;92.85;65;100;260;17.6;9.7;0.61;5608.23;5045.14
29.6;20;23.73;83.91;57;100;210;13.8;9.7;1.3;5045.14;5005.99
31.6;22;24.87;96.36;72;100;188;99.2;6.4;0.39;5005.99;5095.78
30.9;20;24.38;94.36;66;100;245;63.8;12.9;0.84;5095.78;5116.98
31.3;22.6;25.43;93.55;64;100;272;94;8;0.6;5116.98;5082.93
31.6;20.4;25.08;90.4;63;100;309;18.4;9.7;0.79;5082.93;5440.7
30;20.9;24.91;95.9;73;100;150;125.2;6.4;0.31;5440.7;5104.66
30.8;21.1;24.55;96.08;65;100;156;81;9.7;0.66;5104.66;5221.2
30.2;20.4;24.42;89.84;57;100;313;7.6;12.9;1.76;5221.2;5064.3
30.1;19.8;23.93;93.59;57;100;244;72.2;11.3;1.12;5064.3;5488.37
30.2;18.9;24.05;91.85;63;100;247;22.6;12.9;1.27;5488.37;5449.71
29.9;20.2;24.21;92.55;62;100;245;21.8;14.5;1.52;5449.71;5269.47
29.7;18.2;23.9;88.35;56;100;212;0.6;14.5;1.76;5269.47;5034.41
31.1;18.9;24.98;87.55;54;100;366;1;11.3;1.68;5034.41;4886.2
30.4;18.6;23.63;90.68;56;100;342;48;14.5;1.69;4886.2;5058.32
31.7;19.8;25.67;90.67;60;100;316;19.6;12.9;1.67;5058.32;4832.3
31.3;19.4;24.67;88.35;47;100;350;18.2;12.9;1.76;4832.3;4488.54
31.4;19.1;25.1;89.47;58;100;378;78.2;14.5;1.73;4488.54;4351.83
31.5;19.6;24.85;88.56;55;100;390;14.2;12.9;1.4;4351.83;4492.21
31.6;19.8;25.26;88.45;59;100;399;19;12.9;1.52;4492.21;4976.98
31.2;21.3;25.28;93.06;63;100;228;30;14.5;1.9;4976.98;4677.3
32.8;21.8;26.02;92.95;64;100;168;36.8;12.9;1.24;4677.3;5486.14
32.7;20;26.26;85.99;50;100;324;0.2;11.3;1.46;5486.14;5166.52
32.7;20.4;25.86;88.1;53;100;393;10;12.9;2.04;5166.52;5275.26
32.6;21.2;25.83;91.16;61;100;360;68.8;12.9;1.43;5275.26;6243.95
32.9;22.1;26.14;92.03;63;100;316;10.2;9.7;0.94;6243.95;5501.93
33.2;23.1;27.04;90.68;65;100;361;1;8;1.17;5501.93;5499.93
33.1;22;25.86;91.93;61;100;318;65.6;6.4;0.74;5499.93;5865.33
32.7;22.3;26.46;90.84;63;100;344;58.2;9.7;1.02;5865.33;5783.5
32.6;21.1;26.13;90.04;59;100;324;8;9.7;0.85;5783.5;5660.04
33.3;21.8;26.58;90.01;61;100;255;5.6;9.7;0.34;5660.04;6012.92
32.7;21.1;25.87;92.82;62;100;283;19.2;14.5;0.64;6012.92;5836.5
32.2;23.1;25.93;94.14;67;100;264;81;14.5;0.67;5836.5;5469.73
32.3;23.4;26.42;93.92;66;100;286;173.6;12.9;0.99;5469.73;5437.48
30;21.7;24.91;94.89;74;100;222;37;20.9;0.79;5437.48;5955.4
31.9;21.6;25.69;92.06;62;100;329;56.4;11.3;1.02;5955.4;6070.26
33.1;19.7;25.36;91.98;62;100;314;30.8;11.3;0.86;6070.26;6630.09
32.6;21.5;26.01;91.4;64;100;322;10.8;11.3;1.01;6630.09;6369.63
32.6;22.2;26.46;88.76;61;100;363;0.6;12.9;1.38;6369.63;5599.18
32.9;20.6;26.15;89.08;59;100;349;7.2;11.3;1.4;5599.18;5710.03
33.9;21.3;26.07;89.79;57;100;340;59;9.7;1.03;5710.03;5371.78
32.6;21.6;26.16;89.52;63;100;367;24.6;11.3;1.03;5371.78;5438.94
33.2;21.7;26.13;88.93;59;100;351;3.6;12.9;1.32;5438.94;5556.73
32.8;21.6;25.37;92.88;63;100;278;31.8;11.3;1.06;5556.73;4894.52
32.3;22.2;26;91.17;64;100;334;6.4;11.3;1.07;4894.52;5375.15
32.4;18.9;26.14;89.33;60;100;373;8.8;9.7;1.21;5375.15;5701.9
31.9;21.4;25.6;92.7;64;100;293;107;9.7;0.99;5701.9;5297.86
32.06034903;20.51551468;25.15924823;98.33;93;100;0;0;0;0;5297.86;4781.95
32.1;22.1;25.34;94.13;64;100;147;32.15;6.4;0.5;4781.95;5587.98
32.07;19.71;25.33;81.36;53.08;95.16;160;8.5;4.45;1.33;5587.98;5521.47
32.99;21.37;26.03;78.17;52.54;93.7;164;34.8;4.89;1.43;5521.47;5436.04
31.1;18.7;23.51;87.94;55.63;95.94;74;502;4.39;1.51;5436.04;4558.49
32.09;20.12;24.58;85.13;54.78;94.61;135;109.1;5.58;1.08;4558.49;4828.63
31.72;21.18;25.36;84.66;58.03;94.74;139;37.4;0.08;0;4828.63;5171.54
31.54;20.08;24.89;83.35;52.93;94.64;146;96;0.47;0.01;5171.54;5291.68
30.33;19.37;24.43;83.23;53.78;95.05;143;63.3;0.14;0;5291.68;5247.73
30.2;18.8;24.02;94.33;61;100;248;106;12.9;0.79;5247.73;4828.3
30.6;20.9;24.69;93.5;61;100;285;53.8;12.9;1.09;4828.3;5037.06
30.47;20.32;23.1;97.96;57.36;100;84;208.3;6.4;0.72;5037.06;5304.38
30.17;20.26;23.87;85.08;57.3;94.66;118;90.2;0;0;5304.38;5051.84
30.82;19.69;24.53;81.99;52.38;94.93;165;53;0;0;5051.84;5054.15
30.61;19.03;24.42;79.81;49.28;94.27;162;7.3;0;0;5054.15;4596.63
31.06;19.84;24.51;81.05;52.19;94.56;155;27.6;0;0;4596.63;5122.26
31.08;18.47;24.15;76.57;41.23;94.03;195;22.9;0;0;5122.26;4948.05
30.6;17.3;23.44;87.68;56;100;219;0.4;12.9;1.6;4948.05;4813.47
29.4;19.8;24.04;93.51;63;100;135;29.6;9.7;1.49;4813.47;4721.53
29.8;18.6;24.39;91.19;63;100;147;25.8;8;1.34;4721.53;4546.36
30.8;17.6;24.05;88.6;50;100;198;1.6;11.3;1.64;4546.36;4700.99
30.8;18.9;24.66;87.65;53;100;207;15.2;8;1.7;4700.99;4858.04
30.6;18.2;24.2;87.18;59;100;199;1.8;8;1.75;4858.04;4916.28
30.8;19.5;24.27;92.06;58;100;160;47.2;11.3;1.59;4916.28;5020.49
30.3;18.7;24.23;90.72;63;100;175;6.4;9.7;1.48;5020.49;4568
31.1;18.4;24.93;87.15;59;100;233;1.6;8;1.68;4568;4733.85
31.6;20.7;25.29;90.14;65;100;172;3.2;9.7;1.73;4733.85;4939.42
31.2;19.8;24.69;93.39;56;100;137;180.2;6.4;0.86;4939.42;5130.46
30.4;20.5;25.3;92.97;67;100;205;61.4;8;1.15;5130.46;4883.32
30.6;20.1;24.64;92.21;65;100;279;4;6.4;0.87;4883.32;5223.13
31.2;20.5;25.77;86.31;64;100;462;0.2;8;1.69;5223.13;5649.86
32;21.9;26.31;90.93;69;100;298;3.8;11.3;1.56;5649.86;5734.91
31.9;21.6;25.89;91.26;63;100;311;31;6.4;0.99;5734.91;5621.07
32.1;21.1;25.03;93.87;62;100;247;41;6.4;0.76;5621.07;5817.29
31.7;21.7;26.15;91.43;67;100;274;43.8;9.7;1.27;5817.29;5745.05
31.4;21.9;25.82;93.28;67;100;171;111.8;8;1.19;5745.05;5865.25
32.2;22.8;26.33;91.06;62;100;190;6;8;0.98;5865.25;5994
30.9;21.8;24.8;97.18;71;100;81;29.4;4.8;0.41;5994;5879.93
31.1;22.3;25.56;94.25;70;100;273;57;6.4;1;5879.93;6022.96
31.2;21.6;25.46;91.93;62;100;313;37.6;8;1.32;6022.96;6022.12
30.3;22.4;25.35;93.61;72;100;281;42.8;6.4;1.18;6022.12;5989.3
31.6;21.6;25.18;94.71;71;100;253;174.8;9.7;1.14;5989.3;5983.31
31.6;21.6;25.29;93.37;65;100;297;84.4;8;1.23;5983.31;5576.25
31.4;22.2;25;96.25;70;100;195;188.4;4.8;0.58;5576.25;5782.47
32.2;21.6;25.96;90.72;61;100;394;67.2;8;1.34;5782.47;5348.69
31.4;21.8;25.41;93.63;68;100;291;61.6;8;0.89;5348.69;5440.26
32.3;21.5;25.86;91.15;64;100;355;15.4;9.7;1.2;5440.26;5670.47
33.3;21.9;26.18;91.83;58;100;341;78;8;1.44;5670.47;5485.92
33.3;22.1;26.85;88.78;58;100;392;0;8;1.34;5485.92;5652.18
30.78297788;21.74598276;25.18935378;89.94190927;58.19552823;99.41598539;374.1750147;7.710499132;7.310134377;1.325988103;5652.18;5160.87
30.76965986;21.66602475;25.18996818;90.75644819;59.58187548;99.42688578;356.4273363;14.40748144;6.87078384;1.325717;5160.87;5044.3
30.75634184;21.58606674;25.19058257;91.57098711;60.96822273;99.43778617;338.6796579;21.10446375;6.431433303;1.325445897;5044.3;5106.19
31.9;22.3;26.15;91.18;63;100;321;31.6;6.4;1.34;5106.19;5329.54
32.4;22.2;25.76;93.85;63;100;265;31.6;4.8;1.04;5329.54;5040.77
32.1;22.7;26.49;92.13;67;100;303;7.6;6.4;1.16;5040.77;5022.63
31.6;22;25.24;94.38;70;100;225;60.4;4.8;1.25;5022.63;5478.15
31.7;21.8;25.56;90.6;59;100;280;24.2;8;1.96;5478.15;4666.97
31.4;21.1;24.78;94.25;59;100;236;64.2;6.4;1.42;4666.97;4708.13
28.3;19.8;23.02;95.91;71;100;110;308.4;8;2.99;4708.13;4305.23
29.7;21.3;23.95;98.59;75;100;136;214.4;6.4;1.89;4305.23;4107.2
30.6;20.9;23.97;96.75;68;100;147;184.8;6.4;1.09;4107.2;4518.59
30.2;20.9;24.65;95.25;69;100;207;74.6;8;1.63;4518.59;4334.14
30.3;20.2;24.36;91.21;57;100;293;16.6;9.7;1.5;4334.14;5715.65
30.3;20.2;24.49;91.68;60;100;282;80.2;8;1.79;5715.65;5639.02
29.6;19.3;24.17;90.99;59;100;190;10;8;1.39;5639.02;5562.39
29.6;20.6;24.83;93.88;63;100;262;145.6;8;1.14;5562.39;5581.37
29.6;19.9;24.18;92.46;65;100;228;10.8;8;0.87;5581.37;5041.05
29.7;20.1;23.15;95.9;65;100;186;67.6;8;1.58;5041.05;4652.85
30.1;20.9;24.33;93.81;63;100;264;110.8;6.4;1.24;4652.85;4326.58
28.4;19.4;22.86;97.03;64;100;129;456;9.7;1.57;4326.58;4378.96
